Date;Close;Open;High;Low;Variation;
Jan 17, 2017;1.0714;1.0598;1.0719;1.0593;1,05 %;
Jan 16, 2017;1.0603;1.0615;1.0638;1.0577;-0,39 %;
Jan 13, 2017;1.0644;1.0609;1.0674;1.0595;0,29 %;
Jan 12, 2017;1.0613;1.0580;1.0687;1.0570;0,29 %;
Jan 11, 2017;1.0582;1.0554;1.0624;1.0452;0,27 %;
Jan 10, 2017;1.0554;1.0571;1.0628;1.0549;-0,19 %;
Jan 09, 2017;1.0574;1.0537;1.0584;1.0508;0,39 %;
Jan 06, 2017;1.0533;1.0603;1.0624;1.0520;-0,70 %;
Jan 05, 2017;1.0607;1.0489;1.0619;1.0478;1,13 %;
Jan 04, 2017;1.0488;1.0403;1.0501;1.0387;0,79 %;
Jan 03, 2017;1.0406;1.0453;1.0492;1.0339;-0,51 %;
Jan 02, 2017;1.0459;1.0529;1.0534;1.0446;-0,54 %;
Dec 30, 2016;1.0516;1.0489;1.0654;1.0479;0,23 %;
Dec 29, 2016;1.0492;1.0416;1.0494;1.0404;0,77 %;
Dec 28, 2016;1.0412;1.0454;1.0483;1.0369;-0,43 %;
Dec 27, 2016;1.0457;1.0451;1.0465;1.0429;0,01 %;
Dec 26, 2016;1.0456;1.0451;1.0473;1.0436;0,00 %;
Dec 23, 2016;1.0456;1.0435;1.0470;1.0424;0,18 %;
Dec 22, 2016;1.0437;1.0421;1.0501;1.0419;0,12 %;
Dec 21, 2016;1.0425;1.0388;1.0453;1.0380;0,37 %;
Dec 20, 2016;1.0387;1.0403;1.0419;1.0350;-0,14 %;
Dec 19, 2016;1.0402;1.0442;1.0479;1.0390;-0,47 %;
Dec 16, 2016;1.0451;1.0415;1.0477;1.0398;0,36 %;
Dec 15, 2016;1.0414;1.0534;1.0544;1.0364;-1,16 %;
Dec 14, 2016;1.0536;1.0625;1.0671;1.0494;-0,86 %;
Dec 13, 2016;1.0627;1.0633;1.0668;1.0601;-0,08 %;
Dec 12, 2016;1.0635;1.0550;1.0652;1.0523;0,69 %;
Dec 09, 2016;1.0562;1.0615;1.0632;1.0528;-0,50 %;
Dec 08, 2016;1.0615;1.0753;1.0873;1.0595;-1,28 %;
Dec 07, 2016;1.0753;1.0719;1.0770;1.0707;0,32 %;
Dec 06, 2016;1.0719;1.0762;1.0787;1.0696;-0,42 %;
Dec 05, 2016;1.0764;1.0672;1.0798;1.0503;0,85 %;
Dec 02, 2016;1.0673;1.0660;1.0692;1.0623;0,10 %;
Dec 01, 2016;1.0662;1.0588;1.0670;1.0582;0,70 %;
Nov 30, 2016;1.0588;1.0646;1.0669;1.0551;-0,58 %;
Nov 29, 2016;1.0650;1.0612;1.0657;1.0562;0,33 %;
Nov 28, 2016;1.0615;1.0594;1.0686;1.0561;0,26 %;
Nov 25, 2016;1.0587;1.0548;1.0631;1.0535;0,31 %;
Nov 24, 2016;1.0554;1.0552;1.0587;1.0515;-0,05 %;
Nov 23, 2016;1.0559;1.0626;1.0647;1.0523;-0,63 %;
Nov 22, 2016;1.0626;1.0625;1.0660;1.0581;-0,04 %;
Nov 21, 2016;1.0630;1.0581;1.0652;1.0576;0,40 %;
Nov 18, 2016;1.0588;1.0622;1.0645;1.0567;-0,36 %;
Nov 17, 2016;1.0626;1.0689;1.0746;1.0616;-0,60 %;
Nov 16, 2016;1.0690;1.0720;1.0763;1.0663;-0,29 %;
Nov 15, 2016;1.0721;1.0734;1.0817;1.0710;-0,15 %;
Nov 14, 2016;1.0737;1.0847;1.0852;1.0706;-1,10 %;
Nov 11, 2016;1.0856;1.0891;1.0929;1.0827;-0,34 %;
Nov 10, 2016;1.0893;1.0907;1.0958;1.0862;-0,16 %;
Nov 09, 2016;1.0910;1.1023;1.1300;1.0902;-1,05 %;
Nov 08, 2016;1.1026;1.1039;1.1070;1.1005;-0,13 %;
Nov 07, 2016;1.1040;1.1134;1.1139;1.1026;-0,50 %;
Nov 06, 2016;1.1095;1.1061;1.1100;1.1061;-0,39 %;
Nov 04, 2016;1.1138;1.1102;1.1146;1.1077;0,30 %;
Nov 03, 2016;1.1105;1.1096;1.1128;1.1057;0,07 %;
Nov 02, 2016;1.1097;1.1053;1.1125;1.1048;0,37 %;
Nov 01, 2016;1.1056;1.0979;1.1072;1.0956;0,68 %;
Oct 31, 2016;1.0981;1.0984;1.0994;1.0934;-0,02 %;
Oct 30, 2016;1.0983;1.0991;1.0991;1.0976;-0,04 %;
Oct 28, 2016;1.0987;1.0895;1.0995;1.0889;0,83 %;
Oct 27, 2016;1.0897;1.0906;1.0945;1.0881;-0,11 %;
Oct 26, 2016;1.0909;1.0887;1.0947;1.0870;0,19 %;
Oct 25, 2016;1.0888;1.0880;1.0906;1.0848;0,05 %;
Oct 24, 2016;1.0883;1.0876;1.0903;1.0858;0,03 %;
Oct 23, 2016;1.0880;1.0882;1.0884;1.0873;-0,04 %;
Oct 21, 2016;1.0884;1.0927;1.0933;1.0857;-0,42 %;
Oct 20, 2016;1.0930;1.0972;1.1041;1.0914;-0,40 %;
Oct 19, 2016;1.0974;1.0979;1.1005;1.0953;-0,05 %;
Oct 18, 2016;1.0980;1.0998;1.1029;1.0967;-0,17 %;
Oct 17, 2016;1.0999;1.0972;1.1011;1.0962;0,30 %;
Oct 16, 2016;1.0966;1.0969;1.0974;1.0966;-0,05 %;
Oct 14, 2016;1.0971;1.1054;1.1062;1.0966;-0,78 %;
Oct 13, 2016;1.1057;1.1004;1.1058;1.0982;0,45 %;
Oct 12, 2016;1.1008;1.1051;1.1072;1.1001;-0,42 %;
Oct 11, 2016;1.1054;1.1135;1.1144;1.1046;-0,75 %;
Oct 10, 2016;1.1138;1.1195;1.1202;1.1127;-0,51 %;
Oct 09, 2016;1.1195;1.1180;1.1204;1.1180;-0,05 %;
Oct 07, 2016;1.1201;1.1149;1.1207;1.1101;0,45 %;
Oct 06, 2016;1.1151;1.1203;1.1214;1.1137;-0,48 %;
Oct 05, 2016;1.1205;1.1202;1.1238;1.1187;0,01 %;
Oct 04, 2016;1.1204;1.1208;1.1240;1.1135;-0,06 %;
Oct 03, 2016;1.1211;1.1233;1.1245;1.1203;-0,20 %;
Oct 02, 2016;1.1233;1.1229;1.1244;1.1228;-0,07 %;
Sep 30, 2016;1.1241;1.1222;1.1253;1.1150;0,16 %;
Sep 29, 2016;1.1223;1.1215;1.1251;1.1195;0,06 %;
Sep 28, 2016;1.1216;1.1212;1.1238;1.1179;0,01 %;
Sep 27, 2016;1.1215;1.1251;1.1262;1.1188;-0,35 %;
Sep 26, 2016;1.1254;1.1221;1.1279;1.1219;0,14 %;
Sep 25, 2016;1.1238;1.1229;1.1241;1.1224;0,11 %;
Sep 23, 2016;1.1226;1.1205;1.1244;1.1191;0,17 %;
Sep 22, 2016;1.1207;1.1192;1.1258;1.1181;0,16 %;
Sep 21, 2016;1.1189;1.1148;1.1200;1.1119;0,30 %;
Sep 20, 2016;1.1155;1.1176;1.1216;1.1144;-0,17 %;
Sep 19, 2016;1.1174;1.1160;1.1198;1.1146;0,14 %;
Sep 18, 2016;1.1158;1.1154;1.1160;1.1153;0,03 %;
Sep 16, 2016;1.1155;1.1242;1.1256;1.1145;-0,79 %;
Sep 15, 2016;1.1244;1.1246;1.1286;1.1217;-0,05 %;
Sep 14, 2016;1.1250;1.1215;1.1274;1.1207;0,27 %;
Sep 13, 2016;1.1220;1.1233;1.1262;1.1200;-0,12 %;
Sep 12, 2016;1.1234;1.1230;1.1269;1.1209;-0,05 %;
Sep 11, 2016;1.1240;1.1237;1.1240;1.1230;0,06 %;
Sep 09, 2016;1.1233;1.1259;1.1288;1.1197;-0,25 %;
Sep 08, 2016;1.1261;1.1237;1.1329;1.1231;0,20 %;
Sep 07, 2016;1.1239;1.1253;1.1271;1.1226;-0,15 %;
Sep 06, 2016;1.1256;1.1144;1.1266;1.1137;0,98 %;
Sep 05, 2016;1.1147;1.1149;1.1185;1.1137;-0,11 %;
Sep 04, 2016;1.1159;1.1159;1.1159;1.1153;0,03 %;
Sep 02, 2016;1.1156;1.1194;1.1254;1.1148;-0,38 %;
Sep 01, 2016;1.1198;1.1155;1.1207;1.1126;0,36 %;
Aug 31, 2016;1.1158;1.1141;1.1167;1.1121;0,13 %;
Aug 30, 2016;1.1143;1.1187;1.1198;1.1128;-0,41 %;
Aug 29, 2016;1.1189;1.1191;1.1208;1.1156;-0,07 %;
Aug 28, 2016;1.1197;1.1181;1.1201;1.1180;-0,01 %;
Aug 26, 2016;1.1198;1.1281;1.1343;1.1177;-0,75 %;
Aug 25, 2016;1.1283;1.1262;1.1301;1.1254;0,18 %;
Aug 24, 2016;1.1263;1.1303;1.1316;1.1242;-0,38 %;
