Date;Close;Open;High;Low;Variation
Dec 09, 2016;115.40;114.00;115.40;113.96;1,20 %
Dec 08, 2016;114.03;113.71;114.39;113.11;0,23 %
Dec 07, 2016;113.77;113.99;114.41;113.38;-0,22 %
Dec 06, 2016;114.02;113.84;114.22;113.46;0,16 %
Dec 05, 2016;113.84;113.52;114.80;112.84;0,23 %
Dec 02, 2016;113.58;114.06;114.25;113.29;-0,45 %
Dec 01, 2016;114.09;114.44;114.83;113.79;-0,33 %
Nov 30, 2016;114.47;112.38;114.56;112.02;1,85 %
Nov 29, 2016;112.39;111.91;113.36;111.58;0,40 %
Nov 28, 2016;111.94;113.03;113.12;111.32;-1,01 %
Nov 25, 2016;113.08;113.32;113.91;112.53;-0,23 %
Nov 24, 2016;113.34;112.48;113.58;112.34;0,73 %
Nov 23, 2016;112.52;111.09;112.98;110.81;1,26 %
Nov 22, 2016;111.12;110.80;111.36;110.23;0,26 %
Nov 21, 2016;110.83;110.89;111.40;110.42;-0,11 %
Nov 18, 2016;110.95;110.09;110.98;109.76;0,76 %
Nov 17, 2016;110.11;109.04;110.20;108.51;0,94 %
Nov 16, 2016;109.08;109.17;109.77;108.76;-0,08 %
Nov 15, 2016;109.17;108.40;109.36;107.74;0,69 %
Nov 14, 2016;108.42;106.53;108.56;106.51;1,63 %
Nov 11, 2016;106.68;106.81;106.94;106.00;-0,14 %
Nov 10, 2016;106.83;105.65;106.95;104.95;1,10 %
Nov 09, 2016;105.67;105.12;105.91;101.15;0,48 %
Nov 08, 2016;105.16;104.44;105.22;104.27;0,66 %
Nov 07, 2016;104.47;103.12;104.64;103.08;1,29 %
Nov 04, 2016;103.14;102.96;103.37;102.81;0,16 %
Nov 03, 2016;102.98;103.29;103.45;102.54;-0,32 %
Nov 02, 2016;103.31;104.12;104.19;102.99;-0,82 %
Nov 01, 2016;104.16;104.81;105.14;103.78;-0,63 %
Oct 31, 2016;104.82;104.68;105.23;104.24;0,11 %
Oct 28, 2016;104.70;105.27;105.55;104.46;-0,56 %
Oct 27, 2016;105.29;104.45;105.35;104.27;0,78 %
Oct 26, 2016;104.47;104.21;104.62;103.99;0,23 %
Oct 25, 2016;104.23;104.17;104.88;104.09;0,04 %
Oct 24, 2016;104.19;103.84;104.33;103.69;0,35 %
Oct 21, 2016;103.83;103.92;104.23;103.50;-0,12 %
Oct 20, 2016;103.95;103.43;104.11;103.32;0,49 %
Oct 19, 2016;103.44;103.84;103.94;103.15;-0,40 %
Oct 18, 2016;103.86;103.87;104.22;103.65;-0,03 %
Oct 17, 2016;103.89;104.05;104.39;103.76;-0,29 %
Oct 14, 2016;104.19;103.69;104.48;103.58;0,48 %
Oct 13, 2016;103.69;104.21;104.64;103.32;-0,49 %
Oct 12, 2016;104.20;103.49;104.50;103.25;0,66 %
Oct 11, 2016;103.52;103.59;104.08;103.14;-0,09 %
Oct 10, 2016;103.61;103.07;103.81;102.78;0,67 %
Oct 07, 2016;102.92;103.92;104.05;102.84;-0,98 %
Oct 06, 2016;103.94;103.48;104.17;103.32;0,43 %
Oct 05, 2016;103.50;102.87;103.67;102.65;0,59 %
Oct 04, 2016;102.89;101.62;102.97;101.54;1,23 %
Oct 03, 2016;101.64;101.35;101.69;101.19;0,30 %
Sep 30, 2016;101.34;101.02;101.77;100.73;0,31 %
Sep 29, 2016;101.03;100.67;101.86;100.62;0,36 %
Sep 28, 2016;100.67;100.41;100.83;100.23;0,23 %
Sep 27, 2016;100.44;100.31;101.00;100.07;0,11 %
Sep 26, 2016;100.33;101.03;101.11;100.22;-0,66 %
Sep 23, 2016;101.00;100.73;101.25;100.65;0,25 %
Sep 22, 2016;100.75;100.31;100.94;100.07;0,44 %
Sep 21, 2016;100.31;101.70;102.81;100.28;-1,38 %
Sep 20, 2016;101.71;101.93;102.08;101.52;-0,23 %
Sep 19, 2016;101.94;102.21;102.42;101.56;-0,35 %
Sep 16, 2016;102.30;102.07;102.47;101.72;0,21 %
Sep 15, 2016;102.09;102.41;102.75;101.92;-0,32 %
Sep 14, 2016;102.42;102.54;103.36;102.22;-0,14 %
Sep 13, 2016;102.56;101.85;102.77;101.40;0,69 %
Sep 12, 2016;101.86;102.67;102.80;101.54;-0,81 %
Sep 09, 2016;102.69;102.47;103.06;101.95;0,19 %
Sep 08, 2016;102.50;101.73;102.61;101.39;0,76 %
Sep 07, 2016;101.73;102.00;102.14;101.18;-0,28 %
Sep 06, 2016;102.02;103.41;103.83;101.91;-1,37 %
Sep 05, 2016;103.44;103.94;104.14;103.12;-0,53 %
Sep 02, 2016;103.99;103.22;104.33;102.79;0,72 %
Sep 01, 2016;103.25;103.41;104.02;103.03;-0,16 %
Aug 31, 2016;103.42;102.95;103.53;102.84;0,44 %
Aug 30, 2016;102.97;101.90;103.14;101.73;1,03 %
Aug 29, 2016;101.92;101.81;102.41;101.81;0,09 %
Aug 26, 2016;101.83;100.51;101.94;100.06;1,29 %
Aug 25, 2016;100.53;100.42;100.62;100.27;0,09 %
Aug 24, 2016;100.44;100.23;100.62;100.07;0,19 %
Aug 23, 2016;100.25;100.31;100.41;99.91;-0,08 %
Aug 22, 2016;100.33;100.41;100.94;100.19;0,11 %
Aug 19, 2016;100.22;99.87;100.46;99.84;0,33 %
Aug 18, 2016;99.89;100.26;100.50;99.62;-0,38 %
Aug 17, 2016;100.27;100.30;101.18;100.02;-0,04 %
Aug 16, 2016;100.31;101.24;101.31;99.53;-0,93 %
Aug 15, 2016;101.25;101.20;101.47;100.85;-0,06 %
Aug 12, 2016;101.31;101.93;102.28;100.82;-0,63 %
Aug 11, 2016;101.95;101.27;102.06;101.00;0,66 %
Aug 10, 2016;101.28;101.87;101.97;100.94;-0,60 %
Aug 09, 2016;101.89;102.44;102.53;101.76;-0,54 %
Aug 08, 2016;102.44;101.71;102.67;101.71;0,62 %
Aug 05, 2016;101.81;101.21;102.06;100.84;0,58 %
Aug 04, 2016;101.22;101.23;101.67;100.84;-0,01 %
Aug 03, 2016;101.23;100.88;101.58;100.72;0,34 %
Aug 02, 2016;100.89;102.38;102.83;100.65;-1,46 %
Aug 01, 2016;102.39;102.05;102.69;101.98;0,32 %
Jul 29, 2016;102.06;105.24;105.34;101.94;-3,05 %
Jul 28, 2016;105.27;105.38;105.53;104.50;-0,12 %
Jul 27, 2016;105.40;104.64;106.54;104.60;0,71 %
Jul 26, 2016;104.66;105.79;105.89;103.98;-1,06 %
Jul 25, 2016;105.78;106.19;106.73;105.71;-0,28 %
Jul 22, 2016;106.08;105.80;106.39;105.54;0,26 %
Jul 21, 2016;105.81;106.84;107.48;105.41;-0,96 %
Jul 20, 2016;106.84;106.11;107.03;105.81;0,68 %
Jul 19, 2016;106.12;106.14;106.53;105.62;-0,04 %
Jul 18, 2016;106.16;105.12;106.26;105.04;1,26 %
Jul 15, 2016;104.84;105.33;106.31;104.62;-0,47 %
Jul 14, 2016;105.34;104.48;105.95;103.97;0,80 %
Jul 13, 2016;104.50;104.67;104.89;103.89;-0,18 %
Jul 12, 2016;104.69;102.79;104.97;102.42;1,83 %
Jul 11, 2016;102.81;100.43;102.91;100.42;2,25 %
Jul 08, 2016;100.55;100.76;101.25;100.02;-0,23 %
Jul 07, 2016;100.78;101.31;101.44;100.57;-0,54 %
