"txid","refid","time","type","aclass","asset","amount","fee","balance"
"LCQWQZ-S2EYC-AY34EY","TQMBDS-WDUJS-K2MCZO","2015-12-10 14:41:18","trade","currency","XXBT",1.5293848200,0.0000000000,23.3651662600
"LGRGLO-FYHCO-G6JH64","TQMBDS-WDUJS-K2MCZO","2015-12-10 14:41:18","trade","currency","ZEUR",-584.0929,1.4018,8755.3975
"L6BOXE-YKBUP-3GWOFQ","TUOFMB-UXGOU-KUXXTS","2015-12-10 14:41:18","trade","currency","XXBT",7.4706151800,0.0000000000,30.8357814400
"LLVL7S-3JVT7-AWH7PG","TUOFMB-UXGOU-KUXXTS","2015-12-10 14:41:18","trade","currency","ZEUR",-2853.7003,6.8489,5894.8483
"LK6XFC-ZWFYV-FXZC3K","TCNL3U-QBETU-PIQBBX","2015-12-10 14:42:49","trade","currency","XXBT",8.3030000000,0.0000000000,39.1387814400
"LUYZWY-NXOBZ-OR3LZJ","TCNL3U-QBETU-PIQBBX","2015-12-10 14:42:49","trade","currency","ZEUR",-3171.6630,7.6120,2715.5733
"L37GZF-IJKZ7-XCMPDJ","TFSSBM-KG5DG-3UT5ET","2015-12-10 14:42:49","trade","currency","XXBT",6.6970000000,0.0000000000,45.8357814400
"LGY5R4-JY3TH-KFPLTB","TFSSBM-KG5DG-3UT5ET","2015-12-10 14:42:49","trade","currency","ZEUR",-2558.2540,6.1398,151.1795
"LO625W-F46GK-VKXR5N","T27BBW-QH3F6-WANSU5","2015-12-10 14:44:18","trade","currency","XETH",254.7605773500,0.0000000000,10288.7605773500
"LMONO2-F6WW6-OPWL5C","T27BBW-QH3F6-WANSU5","2015-12-10 14:44:18","trade","currency","XXBT",-0.4891410000,0.0004410000,45.3461994400
"LHNZZW-CSING-2HI3KR","TQCQA3-4DENI-OQAISG","2015-12-10 14:44:18","trade","currency","XETH",133.8576042100,0.0000000000,10422.6181815600
"LNXNMG-G3RIW-YE5FKC","TQCQA3-4DENI-OQAISG","2015-12-10 14:44:18","trade","currency","XXBT",-0.2583450000,0.0002330000,45.0876214400
"LENTMS-SMEGC-7YXAF5","TRZONV-ALSFP-UGLW47","2015-12-10 14:44:18","trade","currency","XETH",3198.2900279600,0.0000000000,13620.9082095200
"LSFEGW-7DHVJ-SUDAVD","TRZONV-ALSFP-UGLW47","2015-12-10 14:44:18","trade","currency","XXBT",-6.2046830000,0.0055850000,38.8773534400
"L7EQYL-2Y3FY-C6XG2R","TKGNJV-NHTDX-L452H5","2015-12-10 14:44:18","trade","currency","XETH",1913.0917904800,0.0000000000,15534.0000000000
"LU6IDN-VCJTH-MF6GNW","TKGNJV-NHTDX-L452H5","2015-12-10 14:44:18","trade","currency","XXBT",-3.7305290000,0.0033580000,35.1434664400
"LIPOPK-H7M5B-TPRANP","TS7B4R-C2CQA-QWCIBN","2015-12-10 14:47:26","trade","currency","XETH",255.0000000000,0.0000000000,15789.0000000000
"L4WW4F-KC5MJ-ULDFGH","TS7B4R-C2CQA-QWCIBN","2015-12-10 14:47:26","trade","currency","XXBT",-0.4896000000,0.0004410000,34.6534254400
"LU7U77-26T5E-L5SXOP","TXCHPH-3YS5I-6Q5C5E","2015-12-10 14:52:01","trade","currency","XETH",177.7000000000,0.0000000000,15966.7000000000
"L72TNX-B464L-KLG4BT","TXCHPH-3YS5I-6Q5C5E","2015-12-10 14:52:01","trade","currency","XXBT",-0.3429610000,0.0003090000,34.3101554400
"LKKPYL-C7BUF-QY6B5Q","TK3YWG-GJVVP-JKSX2Q","2015-12-10 14:52:01","trade","currency","XETH",204.1348870300,0.0000000000,16170.8348870300
"L72QKI-TFPOL-K6QSXJ","TK3YWG-GJVVP-JKSX2Q","2015-12-10 14:52:01","trade","currency","XXBT",-0.3960210000,0.0003570000,33.9137774400
"LHBWAF-VAYFZ-YY5YXM","TXIPBU-6YXTR-G7JN6I","2015-12-10 14:52:01","trade","currency","XETH",682.8002595200,0.0000000000,16853.6351465500
"LOVWIU-UMB4V-WOUQZC","TXIPBU-6YXTR-G7JN6I","2015-12-10 14:52:01","trade","currency","XXBT",-1.3314610000,0.0011980000,32.5811184400
"LURWSF-PGYUO-ET7737","TYUI2F-HSMEQ-6JENQY","2015-12-10 14:52:01","trade","currency","XETH",2435.3648534500,0.0000000000,19289.0000000000
"LTN6M2-ILQ62-X2WOYP","TYUI2F-HSMEQ-6JENQY","2015-12-10 14:52:01","trade","currency","XXBT",-4.7733160000,0.0042970000,27.8035054400
"LDMIG4-FFAUL-CY65S7","QCCSEZF-WWHXWU-2EINNX","2015-12-11 14:37:08","deposit","currency","ZEUR",12499.0000,0.0000,12650.1795
"LQMHUV-2UDNR-2SV3Q6","TARKZK-SOWFP-UKH4UY","2015-12-11 14:40:40","trade","currency","XXBT",32.3300000000,0.0707323300,60.0627731100
"LAFR5O-4DYHA-LQDRVH","TARKZK-SOWFP-UKH4UY","2015-12-11 14:40:40","trade","currency","ZEUR",-12647.4960,2.6835,0.0000
"LJ5PLU-JD4MF-IEITSO","TBKUS6-TC2H5-MLMZSG","2015-12-11 14:43:27","trade","currency","XETH",3060.0000000000,0.0000000000,22349.0000000000
"LEF4ZO-SSIKG-LM3SM3","TBKUS6-TC2H5-MLMZSG","2015-12-11 14:43:27","trade","currency","XXBT",-5.8446000000,0.0046760000,54.2134971100
"LJGIZ4-3BFPV-7BJSFM","AGBTGMV-VN4R7C-2FMYBV","2015-12-12 12:50:47","withdrawal","currency","XXBT",-0.0005000000,0.0005000000,54.2124971100
"LG3KVZ-QVFZB-AXXS3Y","AGB3VTC-BHK53W-23E6PC","2015-12-12 13:44:15","withdrawal","currency","XXBT",-0.0005000000,0.0005000000,54.2114971100
"LFA3KI-NWQH4-NEHAMA","AGBAFQJ-4MVWYE-APXN5S","2015-12-12 14:07:58","withdrawal","currency","XXBT",-0.3295000000,0.0005000000,53.8814971100
"L5N4OE-DBVQI-7TKT2K","QCCTRED-S2UODC-TEZKMW","2015-12-15 13:22:16","deposit","currency","ZEUR",12498.0000,0.0000,12498.0000
"LTRLOF-7ZBTM-ZF524Y","TUBGHU-OWYW6-MUB6WQ","2015-12-15 13:43:12","trade","currency","XETH",10000.0000000000,0.0000000000,32349.0000000000
"LNU4GO-AQWIS-AJORUL","TUBGHU-OWYW6-MUB6WQ","2015-12-15 13:43:12","trade","currency","XXBT",-22.4000000000,0.0179200000,31.4635771100
"LP6YPL-XQEYR-CJOAN5","TA4NGC-KFZIJ-KAD33K","2015-12-15 13:48:40","trade","currency","XXBT",0.8530000000,0.0000000000,32.3165771100
"LCJ2BU-MUXEZ-RTQOOJ","TA4NGC-KFZIJ-KAD33K","2015-12-15 13:48:40","trade","currency","ZEUR",-353.9097,0.4247,12143.6656
"LSQ5GK-QZM2M-H33GBV","TCLW5B-HIMRG-JUPRPJ","2015-12-15 13:48:59","trade","currency","XXBT",0.7936000000,0.0000000000,33.1101771100
"LVL62G-MNZZ7-INGGNH","TCLW5B-HIMRG-JUPRPJ","2015-12-15 13:48:59","trade","currency","ZEUR",-329.2646,0.3951,11814.0059
"L6GMSL-IZVOU-NLJVTO","TCLPD2-SV726-JPTIOR","2015-12-15 13:50:34","trade","currency","XXBT",15.3960000000,0.0000000000,48.5061771100
"LUO264-YAQSS-DA7C5F","TCLPD2-SV726-JPTIOR","2015-12-15 13:50:34","trade","currency","ZEUR",-6383.0273,14.0427,5416.9359
"LH2VXJ-Y7YNR-3NQUOP","TVZB2H-JNYKM-KQCL7D","2015-12-15 13:50:34","trade","currency","XXBT",8.1869420000,0.0000000000,56.6931191100
"LLIBOT-YJBRR-RLJGWE","TVZB2H-JNYKM-KQCL7D","2015-12-15 13:50:34","trade","currency","ZEUR",-3394.2243,7.4673,2015.2443
"LG7FBF-ZXLM3-VDYXIL","TM2FSI-TTCHJ-UY56UZ","2015-12-15 13:50:34","trade","currency","XXBT",0.0938000000,0.0000000000,56.7869191100
"L54IAV-UGASO-UGYJHR","TM2FSI-TTCHJ-UY56UZ","2015-12-15 13:50:34","trade","currency","ZEUR",-38.8891,0.0856,1976.2696
"LTLBDD-E7I4L-7SV7NP","TGWSZB-XAMBY-4P7GGO","2015-12-15 13:50:34","trade","currency","XXBT",4.7232580000,0.0000000000,61.5101771100
"LRBRQH-FAE4B-PJ7HBO","TGWSZB-XAMBY-4P7GGO","2015-12-15 13:50:34","trade","currency","ZEUR",-1958.2450,4.3081,13.7165
"LWS4QW-LNBOO-N7PIRV","TUR4GL-MUDJN-A43L3S","2015-12-16 18:23:53","trade","currency","XETH",3689.9771446400,0.0000000000,36038.9771446400
"LDO6J5-JMGI6-J6XLFD","TUR4GL-MUDJN-A43L3S","2015-12-16 18:23:53","trade","currency","XXBT",-7.8965510000,0.0023690000,53.6112571100
"LZY3H3-CKGS3-DSA7TQ","TFWHN7-JJJFY-4PQIUA","2015-12-17 05:40:52","trade","currency","XETH",631.0228553600,0.0000000000,36670.0000000000
"LLPRAC-U73QQ-NWHJJ6","TFWHN7-JJJFY-4PQIUA","2015-12-17 05:40:52","trade","currency","XXBT",-1.3503890000,0.0004050000,52.2604631100
"LDFSZA-AFUGG-XPPCZO","AGBLZOX-WFVNWI-PTXLBC","2015-12-28 15:41:27","withdrawal","currency","XXBT",-0.0005000000,0.0005000000,52.2594631100
"L6WW67-5MUR3-6RYKHG","AGBQ6A4-SSQVZI-5FGFY5","2015-12-28 16:03:30","withdrawal","currency","XXBT",-46.8589600000,0.0005000000,5.4000031100
"LZII4O-SZG63-V3XEFE","QCCZ76W-Z5PWSC-Z4TC3H","2016-01-13 09:49:38","deposit","currency","ZEUR",12499.0000,0.0000,12512.7165
"L3FD6J-ODZOR-BGVUCN","TRGXJX-XBU24-YPDS7W","2016-01-14 13:28:42","trade","currency","XXBT",17.3485504600,0.0000000000,22.7485535700
"LB5BCP-EHQDY-WYNLXM","TRGXJX-XBU24-YPDS7W","2016-01-14 13:28:42","trade","currency","ZEUR",-6922.0716,16.6130,5574.0319
"LXCFN4-A4JPU-VDY23A","TCSB6W-JDEY4-ECUQ7L","2016-01-14 13:33:45","trade","currency","XXBT",3.5072020000,0.0000000000,26.2557555700
"LNZQSJ-3VMYI-46I7QC","TCSB6W-JDEY4-ECUQ7L","2016-01-14 13:33:45","trade","currency","ZEUR",-1399.3736,1.9591,4172.6992
"L5WCTC-CYTEU-MYPJ6X","TQBWFI-XEYAR-X422N7","2016-01-14 13:36:19","trade","currency","XXBT",0.5433286700,0.0000000000,26.7990842400
"LB76BA-VFH6E-5XNM4W","TQBWFI-XEYAR-X422N7","2016-01-14 13:36:19","trade","currency","ZEUR",-216.7881,0.3035,3955.6076
"LZINFR-UI4G7-ANK5UY","TDBTOA-3WFMU-GBNTBY","2016-01-14 13:39:10","trade","currency","XXBT",8.6009188700,0.0000000000,35.4000031100
"LPJ5CM-R52YL-BDC3I5","TDBTOA-3WFMU-GBNTBY","2016-01-14 13:39:10","trade","currency","ZEUR",-3431.7666,4.8045,519.0365
"LA7KUO-WJM5A-HKO6DD","AGB3YQD-QGVNK5-4PR7ZY","2016-02-25 09:23:30","withdrawal","currency","XXBT",-0.0005000000,0.0005000000,35.3990031100
"LHC4C6-GBK35-GZETTF","AGBMCQK-ZFXDOR-AA4SXI","2016-02-25 09:41:34","withdrawal","currency","XXBT",-29.9985000000,0.0005000000,5.4000031100
"LPO6QN-J5KLC-N4SFZH","A2B6CNB-XYP44F-FU2JGV","2016-03-03 15:01:52","withdrawal","currency","XETH",-0.9950000000,0.0050000000,36669.0000000000
"LU74J2-ZDNLP-6LFHQ2","A2BDC2M-SBHDPI-6DKXHH","2016-03-03 15:26:08","withdrawal","currency","XETH",-0.9950000000,0.0050000000,36668.0000000000
"LCYLWZ-DG3QV-IJYWJP","AGBAP2S-A5WGEK-EWTQ4O","2016-03-03 15:44:06","withdrawal","currency","XXBT",-5.3995000000,0.0005000000,0.0000031100
"LGQDCN-W7UNT-FCMCGB","A2BBGVE-ENXXYS-UMMINL","2016-03-04 10:46:03","withdrawal","currency","XETH",-2454.9950000000,0.0050000000,34213.0000000000
"L4WB2S-WNG23-QHICSC","A2BGJKX-YWZI6T-46MQHE","2016-03-05 01:46:45","withdrawal","currency","XETH",-2807.6919200000,0.0050000000,31405.3030800000
"LAYDCR-KNUOL-5MZABT","A2BRG2M-TL7R3Y-JKNRQY","2016-03-05 15:54:27","withdrawal","currency","XETH",-2393.4469100000,0.0050000000,29011.8511700000
"LJRV3E-BBPFH-3EQQQ3","TJ2ANL-H2GYA-G3D3LX","2016-03-06 15:57:03","trade","currency","XETH",-367.8812045200,0.0000000000,28643.9699654800
"LQIVEJ-TFNPP-ZXTUVP","TJ2ANL-H2GYA-G3D3LX","2016-03-06 15:57:03","trade","currency","ZEUR",3556.9514,9.2481,4066.7398
"LRAOME-ZI7NL-ORAF5H","TQOP6Y-W4SGF-PSGC4H","2016-03-06 15:58:06","trade","currency","XETH",-43.5878509300,0.0000000000,28600.3821145500
"LIFMQ3-YSGSO-ZXYC62","TQOP6Y-W4SGF-PSGC4H","2016-03-06 15:58:06","trade","currency","ZEUR",421.0586,0.6737,4487.1247
"LFXRZB-R3JAO-GVMMAF","TRSYD5-F2NKZ-KHQ6WB","2016-03-06 15:58:18","trade","currency","XETH",-25.1918000000,0.0000000000,28575.1903145500
"L2HBLK-5MWKU-IOKER3","TRSYD5-F2NKZ-KHQ6WB","2016-03-06 15:58:18","trade","currency","ZEUR",243.3528,0.3894,4730.0881
"LESXLA-Y2SQ7-2PX6JM","TMHWXB-V446V-CDAZUT","2016-03-06 15:58:21","trade","currency","XETH",-1.3391445500,0.0000000000,28573.8511700000
"LLJAJV-DWGXP-VAW3NT","TMHWXB-V446V-CDAZUT","2016-03-06 15:58:21","trade","currency","ZEUR",12.9361,0.0207,4743.0035
